2	1	3
121	40	122
142	44	143
203	6	204
207	56	207
216	58	217
262	6	263
294	71	295
305	8	306
318	76	319
372	83	373
400	1	401
404	66	405
412	77	413
421	15	422
445	81	445
454	7	455
497	8	498
509	76	510
566	99	567
684	15	685
696	111	697
700	66	701
718	38	719
731	8	732
764	40	765
807	109	808
810	121	811
813	40	814
821	58	822
823	94	824
827	20	828
849	8	850
883	15	884
886	19	887
896	20	897
930	56	930
933	24	934
956	84	957
963	132	964
995	71	996
810	121	1006
1007	66	1008
1009	8	1010
1032	66	1033
1037	22	1038
1050	24	1051
1054	47	1055
1064	24	1065
1092	21	1093
1133	15	1134
1140	140	1141
1152	8	1153
1166	66	1167
1182	24	1183
1202	145	1203
1212	8	1213
1224	8	1225
1226	6	1227
1247	146	1247
1265	3	1266
1273	50	1274
1290	8	683
1306	149	1307
1317	81	1317
1332	17	1333
1346	76	1347
1358	20	1359
1370	77	1371
1380	142	1381
1392	66	1393
1400	121	1401
1406	46	1407
1412	152	1413
444	15	1460
1478	15	1479
1491	76	1492
1494	40	1495
1496	15	1497
1508	3	1509
1524	19	1102
1544	20	1545
1553	62	1554
1564	86	1005
1572	131	1573
1579	6	1564
1583	15	1584
1637	146	1637
1647	21	1648
1666	162	1667
1026	24	1675
1689	19	1690
1725	58	1726
886	6	1728
1733	21	1734
1736	3	1212
1748	124	1749
1750	15	1751
1762	24	1763
1764	146	1764
1780	12	1781
1787	24	1788
1789	15	1790
1811	6	1812
1816	20	1817
1894	3	1895
1899	7	438
1901	170	1902
1918	38	1919
222	145	1973
1982	170	1983
2013	143	2014
127	22	2027
2038	82	2039
2049	46	2050
2051	175	2052
2064	2	2065
2079	176	2080
2112	152	2113
2135	63	1640
2138	58	2139
2155	155	2156
2162	81	2162
2170	22	2171
2174	8	2175
2184	181	2185
2188	77	2189
2198	121	2199
2217	15	1200
2218	30	2219
2240	183	904
2162	83	2274
2277	31	2278
2311	8	2312
2332	6	2333
2338	186	2339
2353	8	2354
2365	7	180
2397	15	2398
2416	15	2417
2425	12	2426
2431	40	2432
2442	190	2443
2485	8	1538
2496	8	2497
1299	194	2503
2546	1	700
2552	6	2553
2576	8	1762
2584	12	2585
2595	22	2596
2598	8	2599
455	30	2628
2707	8	2708
79	66	2752
2764	146	2764
2785	40	2786
1788	56	1788
2822	111	2503
2826	130	2827
2852	165	2853
2884	44	2885
2894	152	2895
2896	201	2897
2899	83	2900
1733	202	2904
1290	3	2905
2906	2	807
2914	111	2915
2949	15	2950
2981	113	2982
2996	7	2997
2999	83	3000
3047	204	3048
3071	86	3072
3088	8	3089
3098	15	3099
3102	124	3103
3114	46	3115
3150	8	3151
3152	15	3153
3156	15	3157
3159	24	3160
2915	58	3187
3207	63	974
3216	35	3217
3262	24	3263
3264	6	3265
3267	66	3268
3288	45	3289
3293	170	3294
3326	170	3327
3336	20	464
3354	82	3355
3361	194	3362
3366	119	3367
3368	38	3369
3392	131	3393
1055	19	3404
3413	19	3414
3416	216	3417
121	40	3438
3462	3	3463
3483	8	306
3494	6	3495
3506	3	3507
3511	44	3512
3521	66	3522
3529	199	3530
3533	176	3534
3535	50	3536
3542	66	3543
1985	94	3550
3560	15	3561
3563	8	3564
1494	170	3606
3609	76	3610
3633	146	3633
3553	187	3640
1213	3	1212
3670	144	3671
3698	24	3699
3719	50	3720
3722	56	3722
3728	21	3729
2074	3	3736
3737	22	3738
3749	8	3750
3751	124	3752
3757	8	3758
3792	77	3793
3805	205	3806
3809	56	3809
3836	3	3837
3843	1	3844
3848	30	3849
3868	19	3869
3877	15	3878
3880	3	3881
3182	31	3884
3919	3	3253
3925	192	2404
3935	194	3936
1487	102	3937
3940	3	3941
3946	58	3947
3952	17	3953
1032	8	3979
3993	19	3994
4007	158	4008
4022	146	4022
4024	50	4025
3998	21	4034
4067	66	4068
4077	81	4077
4082	66	4083
4090	58	4091
3051	15	4098
4101	176	4102
4107	45	3619
4116	38	4117
4145	15	4146
4150	19	4151
2171	202	4168
4172	8	4173
4183	59	263
4188	56	4188
4228	39	3805
4242	94	4243
3919	8	2312
4291	8	2876
4308	190	4309
4345	58	697
4348	27	4349
4366	8	3837
4229	8	4367
4376	38	162
4383	38	4384
2408	8	4402
4416	192	427
4435	3	4436
3648	124	4453
4475	38	4476
934	111	4520
4531	83	4532
4534	176	4535
115	8	4537
4545	131	4546
4548	159	4549
4553	58	4554
4582	56	4582
4596	192	4597
4617	83	4618
3993	145	4619
4624	8	4625
4654	102	4655
4665	176	4666
4669	20	4670
4672	6	1227
4689	39	4690
4700	121	4701
2826	130	4714
4717	111	4718
4739	59	4740
4310	30	4746
4763	101	2677
4766	30	4767
4768	202	4168
4428	8	4769
4803	83	4804
4805	46	4806
4807	6	4808
4814	21	4815
4819	224	3784
1862	3	1213
4846	50	4847
4852	56	4852
2464	47	4853
4855	152	1412
4878	8	4879
4892	194	638
2165	88	4899
4901	15	4902
4919	40	1156
4923	3	4924
4926	31	4927
2453	8	4930
4933	8	768
4204	24	976
4938	190	4939
4966	22	4967
4972	194	787
4976	226	4977
4985	163	4986
4988	21	4989
5046	6	5047
5048	22	5049
5060	21	5061
5079	88	4467
5082	20	5083
5088	86	5089
5093	19	5094
5098	6	5099
5102	194	5103
5110	39	5111
3769	8	5114
5128	179	5129
5147	40	3271
1064	3	3837
5153	81	5153
5158	8	5159
5163	20	5164
3172	66	191
5171	70	5172
5190	15	5191
5198	132	1156
5049	19	5224
5249	22	5250
4985	163	5252
5257	88	5258
5262	58	5018
5264	32	5265
5266	81	5266
1558	12	5272
4534	176	5278
5285	3	5286
5238	146	5238
5306	52	5307
5308	22	5309
1941	158	300
3510	21	5327
5343	3	5344
5356	52	5357
5358	47	1787
5359	227	3868
5363	8	4723
5366	20	704
3305	22	1026
5379	17	5380
5385	3	4451
5394	21	5395
5404	15	5405
5410	1	2152
5411	40	5412
5433	8	5217
5441	17	5442
3640	107	5454
5465	112	5466
3879	146	3879
2765	6	5472
5479	228	4226
5488	170	5489
5493	66	2667
5499	56	5499
5505	146	5505
5511	181	5512
5521	21	5522
5525	229	5526
5540	8	5541
3547	38	5567
5568	61	5569
2431	66	5575
5576	1	5577
3736	24	5591
5598	15	5599
3293	40	5609
5616	190	5617
5618	39	5619
5629	20	4909
5633	20	5640
2922	17	5641
5646	19	5647
923	124	5655
5676	15	1037
5681	27	5682
5685	83	5686
5691	15	5692
5711	22	5712
5726	176	5727
5746	130	3927
5747	30	5748
5752	6	5753
1429	194	5775
1548	21	5779
5787	170	5788
5795	8	5796
5815	3	5816
5825	20	5826
5836	81	5836
5817	153	957
5839	8	5840
5378	44	5847
5854	22	5855
5859	58	5860
5866	111	5867
5870	19	5871
5876	40	5877
1722	40	5885
4436	8	2596
295	66	5919
5940	39	3627
5405	83	5947
5972	24	5973
3187	58	2915
4416	38	5996
534	121	5999
2171	66	6014
6018	111	6019
6022	6	6023
6034	175	6035
6039	40	6040
5627	15	6051
6071	52	6072
5617	56	5617
6080	3	6053
6094	24	6095
6097	1	861
6108	46	5342
6112	170	6113
6125	44	6126
2895	152	6129
6130	15	6131
6134	111	1725
1428	227	6136
4565	40	1380
1851	38	4310
3495	31	6181
4428	8	5433
6205	229	6206
6207	3	6208
6212	190	6213
4860	66	6216
6218	107	5454
6219	154	6220
6224	40	6225
2416	15	6228
6240	3	6241
6245	40	6246
2667	94	6248
6270	124	5655
1666	8	6272
6295	46	6296
6302	154	6303
6304	176	4102
6319	56	6319
5286	6	6137
6325	97	3182
3891	19	6344
6350	17	6351
5587	47	4397
6365	146	6365
3682	39	2622
6376	229	6377
3937	1	1506
6384	45	5391
93	116	6385
6245	40	6391
1736	3	5343
6415	111	6415
6421	8	5269
6430	229	6431
6266	6	6442
3327	121	6447
